productID;ItemCode;Item;CatID;CatCode;Description;longdescription;PictureThumb;PictureLarge;StatusCode;WarrantyCode;taxable;Weight;Brand;datasheet;sortby;shippingc;picturefeature;showmp;sssort_it
11;BHT11322U8;8Port 10Mbps Hub;59;26;"8Port STP Hub, 10Mbps, WM, Cascade, Ext.PA, Tamarak Chipset, Plastic Case
";"* Complies with IEEE802.3 10Base-T Standard<br>
 * Transmission rate : 10Mbps<br>
 * Topology : Tree (backbone and star)<br>
 * Access method : CSMA/CD<BR>
 * Provide up-link port for cascading<br>
 * Plug and play design, no software configuration is required<br>
 * Auto-parition for bad port isolation and auto-recovering.<br>
 * NE-2000 compatible<br>
 * LEDS(Link/activity/partition) for monitoring operation status<br>
 * Plastic case, Palm size design<br>
 * With External Power Supply<br>
 * FCC CLASS A, CE<BR>";;;S008;W008;No;1;BayLan;;99;Yes;;No;3
12;BHT11322UB9;9Port 10Mbps Hub;59;26;9Port STP Hub, 10Mbps, WM, Cascade, Ext.PA, Tamarak Chipset, Plastic Case;"* Complies with IEEE802.3 10Base-T/2 Standard<br>
 * Transmission rate : 10Mbps<br>
 * Topology : Tree (backbone and star)<br>
 * Access method : CSMA/CD<BR>
 * Provide up-link port for cascading<br>
 * Plug and play design, no software configuration is required<br>
 * Auto-parition for bad port isolation and auto-recovering.<br>
 * NE-2000 compatible<br>
 * LEDS(Link/activity/partition) for monitoring operation status<br>
 * Plastic case, Palm size design<br>
 * With External Power Supply<br>
 * FCC CLASS A, CE<BR>";pimages/bht11322ub9thum.jpg;;S008;W008;No;1.5;BayLan;;99;Yes;;No;4
13;BHT11322U16;16Port 10Mbps Hub;59;26;16Port STP Hub, 10Mbps, WM, Cascade, Ext.PA, Tamarak Chipset, Plastic Case (Optional Wall Mount Kit Rs:50/-);"* Complies with IEEE802.3 10Base-T Standard<br>
 * Transmission rate : 10Mbps<br>
 * Topology : Tree (backbone and star)<br>
 * Access method : CSMA/CD<BR>
 * Provide up-link port for cascading<br>
 * Plug and play design, no software configuration is required<br>
 * Auto-parition for bad port isolation and auto-recovering.<br>
 * NE-2000 compatible<br>
 * LEDS(Link/activity/partition) for monitoring operation status<br>
 * Plastic case, Palm size design<br>
 * With External Power Supply<br>
 * FCC CLASS A, CE<BR>";pimages/bht11322uxxthum.JPG;;S008;W005;No;1.5;BayLan;;99;Yes;;No;5
14;BHT11322UBA18;18Port 10Mbps Hub;59;26;18Port STP Hub, 10Mbps, WM, Cascade, Ext.PA, Tamarak Chipset, Plastic Case (Optional Wall Mount Kit Rs:50/-);"* Complies with IEEE802.3 10Base-5/2/T Standard<br>
 * Transmission rate : 10Mbps<br>
 * Topology : Tree (backbone and star)<br>
 * Access method : CSMA/CD<BR>
 * Provide up-link port for cascading<br>
 * Plug and play design, no software configuration is required<br>
 * Auto-parition for bad port isolation and auto-recovering.<br>
 * NE-2000 compatible<br>
 * LEDS(Link/activity/partition) for monitoring operation status<br>
 * Plastic case, Palm size design<br>
 * With External Power Supply<br>
 * FCC CLASS A, CE<BR>";pimages/bht11322uxxthum.JPG;;S008;W008;No;2.5;BayLan;;99;Yes;;No;6
15;BHT11163UBA16;16Port 10Mbps RM Hub;59;26;16Port STP Hub, 10Mbps, RM, Built-in Repeater, Int.PS, Tamarak Chipset, Metal Case;"* Complies with IEEE802.3 10Base-5/2/T Standard<br>
 * Transmission rate : 10Mbps<br>
 * Topology : Tree (backbone and star)<br>
 * Access method : CSMA/CD<BR>
 * Provide up-link port for cascading<br>
 * Plug and play design, no software configuration is required<br>
 * Auto-detection for bad port partition and auto-recovering.<br>
 * NE-2000 compatible<br>
 * LEDS(Link/activity/partition) for monitoring operation status<br>
 * Metal case, Standard 19"" rack-mount width<br>
 * With internal Universal Power Supply<br>
 * FCC CLASS A, CE<BR>";;;S008;W008;No;3;BayLan;;99;Yes;;No;7
16;BHT11163UBA32;32Port 10Mbps RM HUb with Repeator;59;26;32Port STP Hub, 10Mbps, RM, Built-in Repeator, Int.PS, Tamarak Chipset, Metal Case;"* Complies with IEEE802.3 10Base-5/2/T Standard<br>
 * Transmission rate : 10Mbps<br>
 * Topology : Tree (backbone and star)<br>
 * Access method : CSMA/CD<BR>
 * Provide up-link port for cascading<br>
 * Plug and play design, no software configuration is required<br>
 * Auto-detection for bad port partition and auto-recovering.<br>
 * NE-2000 compatible<br>
 * LEDS(Link/activity/partition) for monitoring operation status<br>
 * Metal case, Standard 19"" rack-mount width<br>
 * With internal Universal Power Supply<br>
 * FCC CLASS A, CE<BR>";;;S008;W008;No;2.5;BayLan;;99;Yes;;No;8
17;BRE10033UBA7;Ethernet Repeater Multi Port;59;29;"7Port Multi Repeater Internal Power Supply
(4*BNC+2*UTP+1*AUI)";" <h3>Specifications</h3>
* Conforms to IEEE802.3 repeater specification <br>
 * Transmission Technique: Baseband<br>
 * Topology: tree (Backbone and Star)<br>
 * Access Method : CSMA/CD<BR>
 * Transmission rate: 10Mbps<br>
 * Automatically bad port partitioning and reconnecting to protect the network<br>
 * Provides LED lights for monitoring overall repeater condition and individual port status<br>";pimages/bre10033ubathum.jpg;pimages/bre10033uba7big.jpg;S005;W005;No;0;BayLan;;99;Yes;;No;0
18;BTW2;Cable Tester Remote;60;49;"Cable Tester with Remote for
RJ45/11+BNC+USB";" * Open/short LAN cable tester (STP/UTP,Local Talk,PhoneNet,Thin Coaxial)<br>
 * Separable passive module designed for testing the installed cables.<br>
 * Termination value test for BNC connectors<br>
 * Compact, light, and portable<br>
 * Single operation button,easy operation step<br>
 * Connector :<br>
††RJ-45/BNC/RJ-11/USB each on main unit<br>
††RJ-45/BNC/RJ-11/USB each on separable remote module<br>
 * 5 LEDs for Testing:<br>
††. Open/Short wiring test<br>
††. Connected wires display<br>
††. No connection/no terminator indication<br>
††. Wrong connection/Non-parallel connection display<br>
††.Ethernet 10Base-2/10Base-5 terminator value detection<br>
 * Dimension:142(L)x85(Wx25(H)mm<br>
 * Remote passive module included<br>";pimages/btw2thum.jpg;pimages/btw2big.jpg;S001;W001;No;0;BayLan;;99;Yes;;No;11
19;BTN3;Cable Tester LCD;60;49;Cable Tester LCD with Remote for RJ45;" * Standard pin configuration and (4) user defined pinout modes memorized in CPU.<BR>
 * Tests for shielded and non-shielded cable types.<br>
 * Can review the captured pin assignment and failure status.<br>
 * Automatic power shut down function.<br>
 * Maximum testing length is up to 3000feet.<br>
 * Identify and trace the other end's ID.(using supplied terminator)<br>
 * Suggestion mode for intelligent cable identification.(cable type search)<br>
 * Easy to read LCD display, with back<br>
 * Auto scan pin assignment.<br>
 * Recognized Wiring Schemes
 * Hand-held and easy to operate.<br>
 * Easy to dignose RJ-45 cables against preset wiring scheme.<br>
 * Easy to read cable status and ability to verify cable continuity; open, short, and mismatches.<br>
 * Battery low indication.<br>
 * Power : 9V dry cell battery (Optional)<br>
 * Size : 15.3(L)*9.8(W)*4.5(H)cm.<br>
 * Weight : 180g<br> ";pimages/btn3thum.jpg;pimages/btn3nbig.jpg;S005;W001;No;0.5;BayLan;;99;Yes;;No;12
20;BTA1;Port Tester;60;49;Lan Port Tester (Nway/10/100/HD/FD);" * IEEE 802.3 10Base-T Ethernet<br>
 * IEEE 802.3u 100Base-TX Fast Ethernet<br>
 * Provide two type of connector for testing Hub & Nic<br>†<b> Hub</b>† for testing protocols and duplexities of Ethernet and Fast Ethernet ports on hubs and switches<br>
†<b>NIC</b>†for testing protocols and duplexities of Ethernet and Fast Ethernet ports on Network Interface Cards.<br>
 * Cable length:Maximum 100m for all connections<br>
 * Simple operation<br>
 * Battery powered<br>
 * Automatic De-Activation for power saving<br>
 * Battery condition indicator<br>
 * 9V battery (Optional)<br>
 * Size:145mm x 86mm x 26mm<br>
 * Weight:185g<br>
 * Emission safety: FCC Class B, CE Class B<br>";pimages/bta1thum.jpg;pimages/bta1big.jpg;S001;W001;No;0;BayLan;;99;Yes;;No;13
21;BTS10000CA;Transceiver 10Mbps Fiber;59;30;Transceiver AUI to Fiber(ST);" * Complies with IEEE802.3 10Base-FL/5 Transceiver standard<br>
 * Complete diagnostic LED indicators<br>
 * Switch-selectable SQE (Signal Quality Error)<br>
 * Isolates voltage between network trunk cable & AUI connection<br>
 * Unique polarity detection, indication and automatic correction<br>
 * Locking posts connect directly to user DTE (Data Terminal Equipment) or AUI Cable<br>
 * Cable type:10Base-FL/5<BR>
 * Topology: Star<rb>
 * Protocol : CSMA/CD<br>
 * Technique : Baseband<br>
 * FCC Class A, CE<BR>";pimages/bts10000cathum.jpg;pimages/bts10000cabig.jpg;S001;W005;No;0;BayLan;;99;Yes;;yes;4
22;BCE10011UT;Converter UTP-FIBER(ST);59;31;Converter 10Base-T/FX(ST);" * Standard: IEEE802.3 10Base-T FL<BR>
 * Transmissiontype: Baseband<br>
 * Data Transfer rate: 10Mbps<br>
 * Cable:<br>
††UTP:Cat 3/ UTP CABLE<BR>
††Fiber:50/125um or 62.5/125um optic fiber<br>
 * Cable Limitations:<br>
††Fiber optic cable : up to 2KM<BR>
††up to 100m<br>
 * LED indicators:<br>
††TP Link/ACT, FL Link/ACT, Power, Collision<br>
 * With External power supply<br>
 * MEET FCC CLASS A, CE<BR>";pimages/bce10011uxctthum.JPG;pimages/bce10011uxbig.jpg;S001;W008;No;0;BayLan;;99;Yes;;yes;1
23;BCE10011UC;Converter UTP-FIBER(SC);59;31;Converter 10Base-T/FX(SC);"* Standard: IEEE802.3 10Base-T FL<BR>
 * Transmission type: Baseband<br>
 * Data Transfer rate: 10Mbps<br>
 * Cable:<br>
  ††UTP:Cat-3/ UTP Cable<BR>
††Fiber:50/125um or 62.5/125um optic fiber<br>
 * Cable Limitations:<br>
  ††Fiber optic cable : up to 2KM<BR>
††UTP Cable :up to 100m<br>
 * LED indicators:<br>
  ††TP Link/ACT, FL Link/ACT, Power, Collision<br>
 * With External power supply<br>
 * MEET FCC CLASS A, CE<BR>";pimages/bce10011uxctthum.JPG;pimages/bce10011uxbig.jpg;S001;W008;No;0;BayLan;;99;Yes;;yes;2
24;BBK31011UC;Bridge 100Mbps UTP-FIBER(SC);59;31;Bridge 10/100Base-TX to 100Base-FX(SC);;pimages/bbk31011ucthum.jpg;pimages/BBK31011UCbig.jpg;S008;W008;No;0;BayLan;;99;Yes;;yes;5
25;BBK31011UT;Bridge 100Mbps UTP-FIBER(ST);59;31;Bridge 10/100Base-TX to 100Base-FX(ST);;pimages/bbk31011utthum.jpg;pimages/BBK31011UTbig.jpg;S008;W008;No;0;BayLan;;99;Yes;;yes;6
26;BHK21322U4;4Port 100Mbps Hub;59;27;4Port 100Mbps Desktop Hub;;pimages/bhk21322uxthum.jpg;pimages/8p100hubbig.jpg;S001;W005;No;0;BayLan;pimages/BHK21322U4_n.pdf;99;Yes;;No;1
27;BHK21322U8;8Port 100Mbps Hub;59;27;8Port 100Mbps Desktop Hub;;pimages/bhk21322uxthum.jpg;pimages/8p100hubbig.jpg;S008;W005;No;0;BayLan;pimages/BHK21322U8.pdf;99;Yes;;No;2
28;BSR31322U5;05Port Switch (Plastic body);59;28; 5Port STP Switch, 10/100Mbps, WM, Cascade, Ext. SPS, Realtek Chipset, Plastic Case.;" * Complies with IEEE802.3 / IEEE802.3u Standard<BR>  
 * 5Port 10/100Mbps TX Auto-Negotiation Nway Ethernet Switch<BR>  
 * Full/Half-Duplex capability on every TX ports, total bandwidth is up to 200Mbps/port<BR> 
 * Features Store-and-forward architectures with wire-speed filtering and forwarding rate<BR>  
 * Broadcast storm control<BR>  
 * IEEE802.3X Compliant Full duplex Flow Control<BR>  
 * Automatic source address learning and aging<BR> 
 * Runt and CRC Filtering eliminates erroneous packets to optimize the network bandwidth<BR>  
 * FCC CLASS A, CE<BR> 
";pimages/bsr31322u5.jpg;pimages/BSR31322U5BIG.jpg;S008;W008;No;0;BayLan;;99;Yes;;yes;3
29;BSR31322U8;08Port Switch (Plastic body);59;28; 8Port STP Switch, 10/100Mbps, Buffer=768Kb, WM, Cascade, Ext.SPS, Realtek Chipset, Plastic Case. (Optional Wall Mount Kit Rs:50/-);;pimages/bsr31322u8thum.jpg;pimages/bsr31322u8big.jpg;S001;W008;No;0;BayLan;pimages/BSR31322U8_n.pdf;99;Yes;;yes;13
30;BSA31321U8;08Port Switch (Metal Body);59;28; 8Port UTP Switch, 10/100Mbps, Buffer=768Kb, WM, Cascade, Ext.SPS, ADMtek Chipset, Metal Case.;" * Small foot-print<br>
 * Non-blocking 800Mbps bandwidth<br>
 * Auto-negotiation on all ports to match the speed of the attached devices<br>
 * NWay switch ports support full and half duplex, 10Mbps and 100Mbps connections<br>
 * Automatic polarity correction<br>
 * Plug-n-play installation<br>
 * Comprehensive LED status panel<br>
 * Simple migration to switched Fast Ethernet and protects your network investment<br>
";pimages/bsa31321u8thum.jpg;;S008;W008;No;0;BayLan;;99;Yes;;yes;12
31;BSK31321U5;05Port Switch (Metal Body);59;28; 5Port STP Switch, 10/100Mbps, WM, Cascade, Ext.SPS, Kendin Chipset, Metal Case.;" * Small foot-print<br>
 * Non-blocking 500Mbps bandwidth<br>
 * Auto-negotiation on all ports to match the speed of the attached devices<br>
 * NWay switch ports support full and half duplex, 10Mbps and 100Mbps connections<br>
 * Automatic polarity correction<br>
 * Plug-n-play installation<br>
 * Comprehensive LED status pane<br>l
 * Simple migration to switched Fast Ethernet and protects your network investment<br>
";;;S008;W008;No;0;BayLan;;99;Yes;;yes;1
32;BSR31353U8;08Port Switch Desktop+ RM;59;28; 8Port STP Switch, 10/100Mbps, DR, Cascade, Int.PS, Realtek Chipset, Metal Case.;;pimages/bsr31353uxxthum.jpg;;S008;W008;No;0;BayLan;;99;Yes;;yes;7
33;BSG62333U9T;09Port Giga Switch;59;28; 9Port STP Switch, 10/100/Giga, Buffer=18Mb, DT, Intelligent, Cascade, Int.PS, ATAN Chipset, Metal Case.;" * Auto-negotiation on all ports to match the speed of the attached devices<BR>
 * 1 Gigabit Copper Uplink port for connection to Backbone or Server<BR>
 * NWay switch ports support full and half duplex, 10Mbps and 100Mbps connections<BR>
 * Auto cross-over on all ports<BR>
 * Automatic polarity correction<BR>
 * Plug-n-play installation<BR>
 * Comprehensive LED status panel<BR>
 * Simple migration to switched Fast Ethernet and protects your network investment<BR>
";;;S008;W008;No;0;BayLan;;99;Yes;;yes;21
34;BSY62363U10T;10Port Giga Switch;59;28;10Port STP Switch, 10/100/Giga, Buffer=48Mb, RM, Intelligent,  Cascade, Int.PS, Allayer Chipset, Metal Case.;;pimages/Dsc00220a.gif;pimages/Dsc002202.jpg;S008;W008;No;0;BayLan;;99;Yes;;yes;31
35;BSR31353U16;16Port Switch Desktop+RM;59;28;16Port STP Switch, 10/100Mbps, Buffer=4Mb, DR, Cascade, Int.PS, Realtek Chipset, Metal Case.;" * Auto-negotiation on all ports to match the speed of the attached devices<BR>
 * NWay switch ports support full and half duplex, 10Mbps and 100Mbps connections<BR>
 * Operates at maximum packet filtering and forwarding rate, total bandwidth up to 1.6Gbps<BR>
 * Automatic polarity correction<BR>
 * Plug-n-play installation<BR>
 * Comprehensive LED status panel<BR>
 * Simple migration to switched Fast Ethernet and protects your network investment<BR>
";pimages/bsr31353uxxthum.jpg;pimages/bsr31353u16big.jpg;S008;W008;No;0;BayLan;;99;Yes;;yes;24
36;BSX31363U24;24Port Switch Rackmount;59;28;24Port STP Switch, 10/100Mbps, Buffer=4Mb, RM, Auto MDIX, Cascade, Int.PS, MX Chipset, Metal Case.;"††<b>Access Method</b> :			CSMA/CD, 10Mbps or 100Mbps<br>
††<b>Standards Conformance</b> :		IEEE 802.3 10Base-T ,
					IEEE 802.3u 100BASE TX<br>
††<b>Communication Rate</b> :		10/100Mbps on RJ-45 ports<br>
††<b>Communication Mode</b> :		Full / Half duplex<br>
††<b>Media Supported</b> :			10BASE-T 100 Ohms Category 3,4,5 twisted-pair<br>
					††††††††††††††††††††††††††††††††††††100BASE-TX Ohms Category 5 twisted-pair<br>
††<b>Indicator Panel</b> :			LEDs for Power (each unit), 
					Link/Act, FDX/Col. (each port)<br>
††<b>Number of Ports</b> :			24* RJ45 Ports<br>
††<b>MDI-X/MDI Selection</b> :		Auto detect<br>
††<b>Dimensions</b> :				440 x 172 x 43 mm<br>
††<b>Certification</b> :				CE Mark<br>
††††Emissions :			FCC Class A<br>
   †††† Immunity :				IEC 1000-4-2/3/4<br>
††<b>Power Consumption</b> :		12 Watts max.<br>
††<b>Input Power</b> :				Full range : 100 to 240V, 50 to 60 Hz<br>
††<b>Temperature</b> :			Standard Operation : 0 to 50∞ C<br>
††<b>Humidity</b>	 :			5% to 95% (No-condensing)<br>
††<b>Network Bridging Function</b> :	Filtering, forwarding and learning<br>
††<b>Switching Method</b> :			Store-and-forward<br>
††<b>Address Table</b> :			8K entries<br>
††<b>Filtering/Forwarding Rate</b> :	Line speed<br>  
";pimages/bsx31363u24thum.gif;pimages/BSX31363U24.jpg;S008;W008;No;0;BayLan;pimages/BSX31363U24.pdf;99;Yes;pimages/BSX31363U24-F.jpg;yes;31
37;BSY36263UR24;24Port VLAN Switch Optional Giga Module;59;125;24Port STP Switch, 10/100Mbps, Buffer=48Mb, RM, Vlan Trunking,  Stackable, Int.PS, Allayer Chipset, Metal Case.;" * High-performance low latency Switch Engine<BR>
 * Modular design with following optional modules:<BR>
	†††††††8-port 10BASE-T/100BASE-TX RJ45<BR>
	†††††††2-port 100BASE-FX SC (multi-mode & single mode)<BR>
	†††††††2-port 1000BASE-SX SC (multi-mode & single mode)<BR>
	†††††††2-port 1000BASE-T RJ45
 * 4-port Trunking for 800Mbps of bandwidth<BR>
 * VLAN<BR>
 * Configuration via standard RS232 Console port<BR>
 * Flow-control and Back-pressure support<BR>
";pimages/bsy36263ur24thum.gif;pimages/bsy36263ur26big.jpg;S001;W008;No;0;BayLan;pimages/BSY36263ur24.pdf;99;Yes;;yes;33
40;BTZ10000UA;Transceiver AUI-UTP;59;30;Transceiver  10Mbps   AUI-UTP;" * Complies with IEEE802.3 10Base-T/5 Transceiver standard.<br>
 * Complete diagnostic LED indicatiors.<br>
 * Switch-selectabel SQE (Signal Quality Error) funcation.<br>
 * Isolates voltage between network trunk cable & AUI connection.<br>
 * Unique polarity detection, indication and automatic correction.<br>
 * Locking posts connect directly to user DTE (Data Terminal Equipment) or AUI cable.<br>
 * Cale Type:10Base-T/5<br>
 * Protocol : CSMA/CD<BR>
 * Technique : Baseband.<br>
 * FCC Class A, CE<BR>";pimages/btz10000uathum.jpg;pimages/btz10000uabig.jpg;S008;W008;No;0;BayLan;;99;Yes;;yes;1
